id;libelle;responsbale;contact
1;Table Borders Handmade;content;reintermediate wireless
2;Administrator Valley;copy New Zealand;Orchestrator Croatian Kuna
3;Investor synthesizing;Unbranded navigating;reboot withdrawal
4;Fantastic Soft Shirt Malagasy Ariary Bedfordshire;Handcrafted Guatemala;Cambridgeshire dedicated Arizona
5;Rustic Avon;e-markets Handmade;leverage Chicken Brook
6;tertiary;Savings Account South Dakota;Rubber Handmade Fresh Chicken District
7;Dong Officer Car;transmitter Montana;International
8;User-centric Enterprise-wide;New Jersey Idaho Handcrafted Granite Chair;Concrete
9;payment hard drive Home Loan Account;navigate multi-byte Generic Fresh Pizza;indexing Tasty Soft Soap convergence
10;Practical Frozen Car transmit Incredible;Computers;Rubber Generic
