id;libelle;responsable;contact
1;ROI Creative;parsing;Branch China
2;digital port;Digitized Graphic Interface navigating;forecast
3;hacking;systems XML;RAM JSON
4;Data Group Sleek;Handcrafted Metal Sausages;Practical Steel Pizza Assurance
5;compress;Metal Bosnia and Herzegovina neural-net;ubiquitous Multi-layered
6;e-enable;Computer generate Hat;Nuevo Sol
7;TCP;Towels generate;Architect
8;Brazilian Real copying;RSS Books Auto Loan Account;compelling granular
9;Cambridgeshire;Bedfordshire;Generic Crest time-frame
10;Green Jewelery;deposit Reverse-engineered;bypassing
