id;nb_camions;volume;energie
1;redundant;vortals functionalities;Tanzania
2;platforms program Platinum;salmon bus port;Practical Corporate Plastic
3;Tuna payment Cotton;Ergonomic Analyst cross-platform;Intelligent Concrete Keyboard 1080p grow
4;Granite Gorgeous Pennsylvania;optical dedicated model;yellow Executive
5;payment Towels;synthesize Specialist;Soft
6;content-based fuchsia transmit;Avon pink;Awesome Granite Ball driver withdrawal
7;Focused system;Cheese quantifying;quantifying
8;Planner;Implemented Granite cross-media;Bacon Quality
9;transmitting optical;programming Liaison;enterprise calculating
10;deposit;Administrator orchestration Automotive;rich e-tailers
