id;libelle;responsable;contact
1;Costa Rica COM payment;olive pixel;embrace framework Frozen
2;function Awesome;orchid;Coordinator Future
3;Incredible;deposit;Intelligent Computers Burundi Franc
4;deposit B2C;Bedfordshire;Practical reciprocal Granite
5;Bike;Future;cross-platform Global
6;synergistic system engine Malagasy Ariary;XSS Synchronised;online Licensed transmit
7;Group pixel Home;frame Rhode Island SQL;Computers transmit Ford
8;Integration Program;Strategist International Intelligent Frozen Table;Iowa Distributed indexing
9;intranet invoice;compressing;Shirt Bedfordshire Bolivia
10;Research;International;USB Practical navigate
